申请人,国家,分国专利数
克罗米斯有限公司,中国,1
克若密斯公司,韩国,1
凸版控股株式会社,日本,4
凸版控股株式会社,中国,1
田村株式会社 | 诺维晶科股份有限公司,美国,1
沃斯特克公司,美国,1
FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE NAUCHNOE UCHREZHDENIE FEDERALNYJ ISSLEDOVATELSKIJ TSENTR KRASNOYARSKIJ NAUCHNYJ TSENTR SIBIRSKOGO OTDELENIYA ROSSIJSKOJ AKADI NAUK FITS KNTS SO RAN KNTS SO RAN,俄罗斯,1
信州大学 | 不二越机械工业股份有限公司,中国,1
信州大学 | 不二越机械工业股份有限公司,俄罗斯,1
桂林理工大学,中国,1
出光兴产株式会社,日本,7
英飞凌科技股份有限公司,中国,1
IDAHO STATE UNIVERSITY,美国,1
东芝电子元件及储存装置股份有限公司,美国,1
森祥(宁波)新材料有限公司 | 中国科学院宁波材料技术与工程研究所,中国,1
汉民科技股份有限公司,美国,1
武汉华星光电技术有限公司,中国,1
三星显示器有限公司,美国,3
西门子医疗解决方案美国公司,中国,1
罗姆股份有限公司,美国,1
国家纳米科学中心,中国,2
田村株式会社 | 国立大学法人东京农工大学,中国,4
东北大学（中国）,中国,1
黑龙江科技大学,中国,1
株式会社EUGENE科技材料,美国,1
国立大学法人 和歌山大学,日本,1
常州创索新材料科技有限公司,中国,1
中国工程物理研究院化工材料研究所 | 四川省新材料研究中心,中国,1
日本放送协会,日本,2
罗姆股份有限公司,中国,1
盐城卓越电子材料有限公司,中国,1
田村株式会社 | 独立行政法人情报通信研究机构,日本,3
西克帕控股有限公司,日本,1
拉姆研究公司,日本,1
株式会社FLOSFIA | 独立行政法人情报通信研究机构 | 京都大学,日本,1
山东省科学院新材料研究所 | 济南汇科瑞泰光电技术有限公司,中国,1
山东省科学院新材料研究所,中国,1
松下电器产业株式会社,日本,3
田村株式会社,美国,3
东港智科产业园有限公司,中国,1
美题隆公司,美国,1
住友化学工业株式会社,日本,6
田村株式会社 | 独立行政法人情报通信研究机构 | 国立大学法人东京农工大学,欧洲专利局,1
株式会社博迈立铖,美国,1
三井金属矿业株式会社,中国台湾,3
三菱化学株式会社,日本,3
田村株式会社 | 独立行政法人理化学研究所,中国,1
炬力奈米科技有限公司,中国,1
株式会社半导体能源研究所,美国,4
日亚化学工业株式会社,日本,2
田村株式会社 | 株式会社光波,日本,24
X VI株式会社,日本,1
福斯创弗邦柏林公司,美国,1
苏州市嘉明机械制造有限公司,中国,1
法国圣戈班玻璃有限公司,美国,2
株式会社EUGENE科技材料,韩国,1
江苏迪纳科精细材料股份有限公司,中国,1
南通大学技术转移中心有限公司,中国,1
南通全昂等离子体科技有限公司,中国,1
大阪大学 | 伊藤忠吉普世股份有限公司 | 国立大学法人东京农工大学,美国,1
东京应化工业株式会社,中国,1
南京大劲精密机械有限公司,中国,1
株式会社SUMCO,日本,1
青岛阿莫斯资源科技有限公司,中国,1
美光科技公司,美国,3
YEOM SUNG WUNG,美国,1
염성웅,韩国,1
三菱综合材料株式会社 | 三菱材料电子化成株式会社,日本,1
超科技公司,中国,1
田村株式会社,中国,11
徐州永丰磁业有限公司,中国,1
田村株式会社 | 独立行政法人情报通信研究机构,中国,2
浦项工科大学校产学协力团,韩国,1
田村株式会社 | 株式会社光波,中国,8
住友金属矿山株式会社,中国台湾,3
常熟耐素生物材料科技有限公司,中国,1
株式会社东芝 | 东芝能源系统股份有限公司,日本,1
中国科学院新疆理化技术研究所,中国,1
新疆大学,中国,2
日本碍子株式会社,韩国,1
梨花女子大学校产学协力团 | 쌍트르나쉬오날드라르쉐르스쉬앙티피끄,韩国,2
田村株式会社 | 株式会社光波,美国,2
住友电气工业株式会社 | 东北大学（日本）,中国,1
深圳有维光电科技有限公司,中国,1
乐金电子公司 | 成均馆大学校产学协力团,美国,1
全斯鲁森特公司,日本,1
马克专利公司,美国,2
马克专利公司,日本,1
财团法人工业技术研究院,美国,1
北京工业大学,美国,1
福州高意光学有限公司,中国,1
喜星金屬公司,韩国,3
山东晶瑞光电科技有限公司,中国,1
福建新越金属材料科技有限公司,中国,2
西克帕控股有限公司,中国,1
中美硅晶制品股份有限公司 | CHEN MIIN JANG,美国,1
可持续能源联盟有限责任公司,美国,2
株洲科能新材料股份有限公司,中国,1
吉坤日矿日石金属株式会社,日本,1
学校法人早稲田大学,日本,5
IQE有限公司,日本,1
上海理工大学,中国,1
京东方科技集团股份有限公司 | 合肥鑫晟光电科技有限公司,美国,1
东京威力科创股份有限公司,美国,1
京都大学,日本,1
气体产品与化学公司,日本,1
胜华科技股份有限公司,中国台湾,1
三星电子株式会社,美国,3
住友金属矿山株式会社,中国,1
TSM公司,韩国,1
柯尼卡美能达株式会社,日本,1
江苏南大光电材料股份有限公司,日本,1
日新电机株式会社,日本,1
三星康宁先进玻璃有限责任公司,中国,1
王长津,中国,1
NANEXA,欧洲专利局,1
纽富来科技股份有限公司,日本,1
巴艾兰大学,中国,1
田村株式会社 | 国立大学法人东京农工大学,日本,1
韩国科学技术研究院,韩国,1
中国科学院金属研究所,中国,1
亚利桑拿州立大学,美国,1
住友电气工业株式会社 | 株式会社光波,日本,1
株式会社东芝,日本,1
琳得科株式会社,日本,1
泉州市博泰半导体科技有限公司,中国,1
中国科学院半导体研究所,美国,1
住友电工光电子器件创新株式会社,日本,1
旭硝子株式会社,日本,6
财团法人工业技术研究院,中国台湾,1
中国科学院上海硅酸盐研究所 | 上海上硅中试基地科技有限公司,中国,2
株式会社爱发科,日本,2
三菱瓦斯化学株式会社,中国台湾,1
福吉米株式会社,美国,1
SLT科技公司,日本,1
株式会社籐仓,日本,2
赣州市创发光电科技有限公司,中国,4
朝鲜大学校产学协力团,韩国,2
海洋王照明科技股份有限公司 | 深圳市海洋王照明技术有限公司 | 深圳市海洋王照明工程有限公司,中国,3
申集半导体科技(徐州)有限公司,中国,1
南开大学,中国,4
学校法人法政大学,中国,1
TOP MATERIALS,韩国,1
希波特公司 | 首尔半导体股份有限公司,中国台湾,1
广州新视界光电科技有限公司,中国,1
瑞霸史東工業股份有限公司,日本,1
三菱电机株式会社,日本,2
三星康宁先进玻璃有限责任公司 | 三星显示器有限公司,中国,1
东曹株式会社,日本,3
吉坤日矿日石金属株式会社,中国台湾,2
三星康宁精密素材股份有限公司,日本,1
出光兴产株式会社,中国,2
并木精密宝石株式会社,中国,1
北京梦之墨科技有限公司,中国,1
OTI领英有限公司,日本,1
光洋应用材料科技股份有限公司,日本,1
优特贝特责任有限公司,世界知识产权组织,1
优特贝特责任有限公司,美国,1
日东电工株式会社,日本,2
日本麦克隆尼股份有限公司,日本,1
信州大学,日本,2
三星康宁先进玻璃有限责任公司,韩国,1
三星康宁先进玻璃有限责任公司 | 三星显示器有限公司,韩国,1
常州星海电子股份有限公司,中国,3
海星化工有限公司,日本,1
AZIMUTH CORP,美国,1
富优技研股份有限公司,中国台湾,1
尤米科尔股份公司及两合公司,日本,1
京瓷株式会社,日本,2
浦项产业科学研究院,韩国,1
台湾中山大学,中国台湾,1
THE RES FOUNDATION FOR THE STATE UNIV OF NEW YORK,美国,1
韶华欧洲有限责任公司,美国,1
上海华友金裕微电子有限公司,中国,1
利兰斯坦福初级大学董事会,美国,1
赢创运营有限公司,美国,1
田村株式会社 | 独立行政法人情报通信研究机构 | 京都大学 | 国立大学法人东京工业大学,日本,1
田村株式会社 | 独立行政法人情报通信研究机构 | 京都大学,日本,1
公立大学法人高知工科大学,日本,1
海洋王照明科技股份有限公司 | 深圳市海洋王照明技术有限公司,中国,2
王家雄,中国,2
张涛 | 彭晖,中国,1
SINGULUS MOCVD GMBH I GR,日本,1
并木精密宝石株式会社,日本,3
特洁安科技有限公司,中国,1
吉坤日矿日石金属株式会社,韩国,1
远东新世纪股份有限公司,日本,1
郭东昊,中国台湾,1
北京雷生强式科技有限责任公司,中国,1
江苏亿承林科技有限公司,中国,1
OTI领英有限公司,加拿大,1
东京应化工业株式会社 | 国立大学法人東京科学大学,日本,1
HONG MING HWEI | KWO RAY NIEN | PI TUN WEN | HUANG MAO LIN | CHANG YU HSING | CHANG PEN | LIN CHUN AN | LIN TSUNG DA,美国,1
仁荷大学校产学协力团,韩国,1
原子能和替代能源委员会 | 格勒诺布尔阿尔卑斯大学,日本,1
新加坡国立大学 | ZENG HUA CHUN | XI BAOJUAN | VERMA LALIT KUMAR | BHATIA CHARANJIT SINGH | YANG HYUNSOO | DANNER AARON JAMES,世界知识产权组织,1
斯奈克玛公司 | 法国国家科学研究中心 | ANSTAYTEU NAT POLYTECHNIQUE DOU TOO LOOZ | 法国图卢玆第三大学,日本,1
庆熙大学校产学协力团,韩国,1
김경환 | 정유섭,韩国,1
美国西北大学 | 飞利斯有限公司,中国,1
南里奥格兰德州联邦大学-UFRGS,巴西,1
韩国机械研究院 | PARK DONG SOO | KIM JONG WOO | RYU JUNG HO | YOON WOON HA | CHOI JONG JIN | HAHN BYUNG DONG,世界知识产权组织,1
有研国晶辉新材料有限公司,中国,1
国立大学法人东京工业大学,日本,1
元亮科技有限公司,中国,8
株式会社半导体能源研究所,中国台湾,1
东京威力科创股份有限公司,日本,2
贝卡尔特公司,美国,1
中国铝业股份有限公司,中国,1
三星康宁精密素材股份有限公司,韩国,2
田村株式会社 | 独立行政法人物质材料研究机构,日本,1
基迈克材料科技(苏州)有限公司,中国,1
株式会社半导体能源研究所,中国,3
KUMARAN RAVEEN | TIEDJE THOMAS J | WEBSTER SCOTT E | PENSON SHAWN,世界知识产权组织,1
KUMARAN RAVEEN | TIEDJE THOMAS | WEBSTER SCOTT E | PENSON SHAWN,美国,1
INSTL NAT DE CERC DEZVOLTARE PENTRU OPTOELECTRONICSA - INOE 2000,罗马尼亚,1
东曹株式会社,中国台湾,1
FDK株式会社,日本,1
UCHREZHDENIE ROSSIJSKOJ AKADI NAUK INST RADIOTEKHNIKI I ELECTRONICSI IM V A KOTELNIKOVA RAN,俄罗斯,1
国立大学法人东京农工大学,日本,1
太阳帕斯特有限责任公司,日本,1
蔡鸿,中国,1
西铁城精密器件株式会社,美国,1
延世大学校产学协力团,美国,1
住友金属矿山株式会社 | 东北大学（日本）,美国,1
住友金属矿山株式会社 | 东北大学（日本）,中国,1
住友金属矿山株式会社 | 东北大学（日本）,日本,1
住友电气工业株式会社,美国,2
学校法人立命馆 | 夏普株式会社,日本,1
法国圣戈班玻璃有限公司,中国,2
ISHIHARA TATSUMI | YAMADA TAKASHI,美国,1
江苏森烽晶体科技有限公司,中国,1
浙江深度照明有限公司,中国,1
中美硅晶制品股份有限公司,中国台湾,2
新纳米有限公司,美国,1
住友化学工业株式会社,美国,1
住友化学工业株式会社,中国,1
韩国化学研究所,韩国,2
乌明克公司,中国台湾,1
罗伯特博世有限公司(德国),美国,1
肖特太阳能控股公司,日本,1
迪睿合株式会社,俄罗斯,1
日本电气株式会社 | 独立行政法人物质材料研究机构,日本,1
三菱综合材料株式会社,日本,12
赵钧永,中国,1
现代制铁株式会社,韩国,1
山东通持环保技术有限公司,中国,1
三菱综合材料株式会社,印度,1
大阪大学 | 株式会社荏原制作所,美国,1
住友金属矿山株式会社 | 学校法人立命馆,日本,1
住友电气工业株式会社 | 株式会社光波,中国,3
佳殿玻璃有限公司,美国,1
中国有色桂林矿产地质研究院有限公司,中国,1
SCI TECH CO LTD,韩国,1
财团法人新产业创造研究机构 | UCHINO TAKASHI,世界知识产权组织,1
通用电气公司,欧洲专利局,3
SLT科技公司,中国,1
三井金属矿业株式会社,日本,1
苏州立琻半导体有限公司,中国台湾,1
ZHONGMEI SHOW SHOW PROD CO LTD,日本,1
密歇根大学董事会,日本,1
中国科学院安徽光学精密机械研究所,中国,1
肖特股份有限公司(德国),德国,1
出光兴产株式会社,中国台湾,2
斯坦雷电气株式会社,美国,1
日本制铁株式会社,日本,2
钟渊化学工业股份有限公司,美国,1
北儒精密股份有限公司,中国,1
普林斯顿大学理事会,中国,1
普林斯顿大学理事会,美国,1
上海半导体照明工程技术研究中心,中国,1
株式会社爱发科,韩国,2
日立电线株式会社,日本,2
财团法人交大思源基金会,中国,1
沙克堤公司,韩国,1
国立交通大学,中国台湾,1
成均馆大学校产学协力团,韩国,2
住友电气工业株式会社,中国,3
应用材料股份有限公司 | MUELLER JOACHIM | SEVERIN DANIEL | KRESS MARKUS,世界知识产权组织,1
富阳光电股份有限公司,中国台湾,1
日本电气株式会社,日本,2
AMTE CO LTD,韩国,1
富士钛工业株式会社,日本,1
云赛智联股份有限公司,中国,3
安徽中科未来晶体科技有限公司,中国,2
CENT NATIOAL DE LA RECH SCI | 里尔科学技术大学 | INSTITUT POLYTECHN GRENOBLE | 雷恩第一大学,美国,1
PRO GREEN TECH | PGT CO LTD,韩国,1
索罗能源公司,美国,1
日本特殊陶业株式会社,日本,4
ザコートオブエジンバラネピアユニバーシティ,日本,1
斯坦雷电气株式会社,日本,2
山西飞虹微纳米光电科技有限公司,中国,1
北达科他州立大学研究基金会,美国,1
力森诺科控股股份有限公司,中国,1
国立台湾大学,美国,1
国立大学法人静冈大学 | 日本轻金属株式会社,日本,1
成均馆大学校产学协力团,日本,1
LUCE LAB CO LTD,日本,1
京东方科技集团股份有限公司,美国,2
美国西北大学 | 普渡研究基金会 | 南加利福尼亚大学 | MARKS TOBIN J | JANES DAVID B | JU SANGHYUN | YE PEIDE | ZHOU CHONGWU | FACCHETTI ANTONIO,世界知识产权组织,1
国立研究开发法人产业技术综合研究所,日本,2
成都东骏激光股份有限公司,中国,1
日本轻金属株式会社,日本,11
AXT公司 | 北京通美晶体技术股份有限公司,中国,1
达方电子股份有限公司,美国,1
三星康宁株式会社,中国,1
CHEN MIIN JANG,美国,1
财团法人国家实验研究院,中国台湾,1
日本轻金属株式会社 | 学校法人立命馆,日本,3
大阪大学,日本,2
住友精化株式会社,日本,1
LG化学株式会社,美国,1
尾池工业株式会社,日本,1
力森诺科控股股份有限公司,美国,2
三星电子株式会社,欧洲专利局,1
国立清华大学,中国台湾,2
3M创新有限公司(美国),日本,2
索泰克公司,美国,3
索泰克公司,日本,1
莫门蒂夫性能材料股份有限公司,中国,1
松下电器产业株式会社,中国,2
林新智 | 陈敏璋,中国,1
桑迪亚国家技术工程解决公司,美国,2
大日本印刷株式会社,日本,1
住友化学工业株式会社,中国台湾,1
LG化学株式会社,韩国,1
卡博特微电子公司,日本,1
三星康宁株式会社,韩国,1
日本轻金属株式会社 | 京都大学,日本,1
丰田合成株式会社,韩国,2
丰田合成株式会社,中国,3
三星电子株式会社,日本,3
台湾中山大学 | 中美硅晶制品股份有限公司,中国台湾,2
日本轻金属株式会社 | 国立大学法人东京大学,日本,1
联合工艺公司,日本,2
通用电气公司,日本,1
株式会社光波,日本,8
三井金属矿业株式会社,美国,1
摩赛科结晶公司 | EINAV MOSHE,世界知识产权组织,1
天津中天杰诺科技有限公司,中国,1
国家纳米技术与工程研究院,中国,1
康乃尔研究基金会有限公司,美国,1
日本轻金属株式会社 | 东北大学（日本）,日本,1
国立中央大学,中国台湾,1
全南大学校产学协力团,韩国,1
惠普发展公司有限责任合伙企业,欧洲专利局,1
三星电子株式会社,德国,1
住友电气工业株式会社,韩国,1
株式会社光波,中国,3
株式会社福田结晶技术研究所,欧洲专利局,1
纳米太阳能公司,欧洲专利局,1
积水化学工业株式会社 | 公立大学法人高知工科大学,日本,1
中国科学院物理研究所,中国,1
FEDERALNOE GOSUDARSTVENNOE UNITARNOE PREDPRIJATIE GOSUDARSTVENNYJ NAUCHNO ISSLEDOVATELSKIJ I PROEKTNYJ INSTITUT REDKOMETALLICHESKOJ PROMYSHLENNOSTI GIREDMET,俄罗斯,1
日立电线株式会社 | 日立电线机械技术株式会社,日本,1
艾克斯特朗欧洲公司,日本,1
日本轻金属株式会社 | 学校法人立命馆,中国,1
日本轻金属株式会社 | 더리츠메이칸트러스트,韩国,1
LG显示器股份有限公司,韩国,1
京瓷株式会社 | 学校法人 名城大学,日本,1
派基顿北美股份有限公司,中国,1
学校法人早稲田大学,美国,1
日产化学株式会社,中国,1
三垦电气株式会社,美国,1
松下电器产业株式会社,美国,2
东北大学（日本）,日本,1
株式会社光波,韩国,1
路易斯维尔大学研究基金会公司 | KENTUCKY UNIVERISTY OF,美国,1
沃孚半导体有限公司,美国,1
松下电器产业株式会社 | SASAKI TAKATOMO,美国,1
惠普发展公司有限责任合伙企业,美国,1
纳米系统公司,加拿大,1
独立行政法人科学技术振兴机构 | 独立行政法人物质材料研究机构,日本,1
学校法人早稲田大学,中国,1
一般財團法人精密瓷器中心 | 石川岛播磨重工业株式会社,日本,1
独立行政法人科学技术振兴机构,日本,1
精工爱普生株式会社,日本,1
国立成功大学,日本,1
路易斯维尔大学研究基金会公司,美国,1
-,韩国,1
住友电气工业株式会社 | 索尼集团公司,中国台湾,1
联合工艺公司,韩国,1
摩尔科技发明股份有限公司 | NGUYEN THINH T | DE NORA VITTORIO,世界知识产权组织,1
NGUYEN THINH T,美国,1
摩托罗拉公司(美国),世界知识产权组织,1
戴蒙得创新股份有限公司,中国,1
盖利姆企业私人有限公司,日本,1
加利福尼亚大学董事会,韩国,1
住友重机械工业株式会社,日本,1
贝卡尔特公司,德国,1
索泰克公司,法国,1
独立行政法人科学技术振兴机构,美国,1
株式会社日矿材料,世界知识产权组织,1
丰田合成株式会社,美国,1
PENG KUANG CHUNG,美国,1
阿莫诺公司 | 日亚化学工业株式会社,日本,1
索尼集团公司,中国,1
索尼集团公司,日本,1
诺维勒斯系统股份有限公司,中国台湾,1
住友电气工业株式会社,德国,1
马特森技术公司 | 美国加州大学,德国,1
株式会社力森诺科,日本,5
恩智浦美国公司,美国,3
日产自动车株式会社,日本,1
WICKBOLDT PAUL | TOET DAN | CHUNG WONSUK,美国,1
伊菲雷技术公司,德国,1
住友电气工业株式会社 | 财团法人国际超电导产业技术研究中心,美国,1
精工爱普生株式会社 | 剑桥大学技术服务有限公司,美国,1
夏普株式会社 | 川崎 雅司,日本,1
帝人株式会社,日本,3
安格沃特．南讷技术中心,中国,1
UD技术公司 | DELAWARE UNIV OF A DE,美国,1
中央硝子株式会社,美国,1
西门子股份公司,美国,2
星精密株式会社,日本,1
卡伯特公司,美国,2
三菱综合材料株式会社,美国,2
OSEMI,美国,1
日本胜利株式会社,日本,10
信越半导体株式会社 | 信越化学工业株式会社,日本,1
IWT STIFTUNG INST FUR WERKSTOFFTECHN,德国,1
罗克韦尔科学中心,日本,1
三星SDI株式会社,日本,1
三星SDI株式会社,美国,1
爱信精机株式会社,日本,1
VSEROSSIJSKIJ NAUCHNO ISSLEDOVATELSKIJ INSTITUT SINTEZA MINERALNOGO SYRJA,俄罗斯,3
아르셀러미탈프랑스,韩国,1
洛克希德马丁能量研究公司,美国,1
OMSKIJ GOSUDARSTVENNYJ TEKHNICHESKIJ UNIVT | INSTITUT SENSORNOJ MIKROELECTRONICSI SO RAN,俄罗斯,1
朗迅科技公司,日本,1
AIR FORCE UNITED STATES,美国,2
JVC建伍株式会社,美国,1
株式会社铃寅,日本,1
朗迅科技公司,美国,1
HOYA株式会社,日本,2
株式会社电装,美国,1
矢崎总业株式会社,日本,1
郡是株式会社,日本,1
拉菲达发展公司,中国,1
三星电机株式会社,韩国,1
三菱瓦斯化学株式会社,美国,2
株式会社村田制作所,日本,1
飞思卡尔半导体公司,美国,1
"ОАО ""ФОМОС-МАТЕРИАЛС""",俄罗斯,1
成都成电正元科技有限公司,中国,1
TOVARISHCHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU FIRMA FOMOS,俄罗斯,1
西门子股份公司,德国,2
独立行政法人理化学研究所,美国,1
富士电气化学株式会社,日本,1
信越半导体株式会社,日本,1
信越半导体株式会社,美国,1
美国电话电报公司,美国,2
阿格瑞系统光电保护公司,美国,1
CARL ZEISS STIFTUNG HEIDENHEIM BRENZ CARL ZEISS,美国,1
韩国地质资源研究院,韩国,2
通用电气公司,德国,1
日本能源株式会社,日本,1
株式会社小松制作所,日本,4
三化科技股份有限公司,日本,1
卡尔蔡司史帝唐亦以卡尔蔡司名称贸易,日本,1
DIAMONEX,日本,1
伊斯曼柯达公司,美国,1
PAZ PUJALT GUSTAVO R | AGOSTINELLI JOHN A | HUNG LIANG SUN,加拿大,1
株式会社日立工程服务,日本,1
FORSKNINGSCENT RIS,日本,1
INST KRISTALLOGRAFII IM A V SHUBNIKOVA RAN,俄罗斯,1
日鉄鉱业株式会社,日本,1
INST FIZIKI IM L V KIRENSKOGO SO RAN,俄罗斯,1
同和矿业株式会社,日本,1
株式会社小松制作所,美国,1
三菱重工业株式会社 | 财团法人国际超电导产业技术研究中心,日本,1
富士通株式会社,日本,1
